text,signature,signature_id,category,severity,proto,app_proto,src_ip,src_port,dest_ip,dest_port,hostname,uri,timestamp,source,count,date
ET ATTACK_RESPONSE Output of id command from HTTP server | Potentially Bad Traffic | failed | 63122,ET ATTACK_RESPONSE Output of id command from HTTP server,2019284,Potentially Bad Traffic,2,TCP,failed,192.168.0.2,35014,217.195.49.146,63122,,,2015-03-12T06:28:12.136123-0600,first-org-2015,5,2015-03-12
ET CHAT Facebook Chat using XMPP | Potential Corporate Privacy Violation | failed | 5222,ET CHAT Facebook Chat using XMPP,2010819,Potential Corporate Privacy Violation,1,TCP,failed,192.168.0.54,49899,173.252.107.17,5222,,,2015-03-18T03:57:23.552511-0600,first-org-2015,33,2015-03-18
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | download.skype.com | /msi/SkypeSetup_7.2.0.103.msi | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49441,80.239.237.11,80,download.skype.com,/msi/SkypeSetup_7.2.0.103.msi,2015-03-17T07:50:58.097095-0600,first-org-2015,1,2015-03-17
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | ui.skype.com | /ui/0/7.2.0.103./en/getlatestversion?ver=7.2.0.103&uhash=1fdcNfe284b6b490bfa128de6f14 | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,63259,157.56.114.104,80,ui.skype.com,/ui/0/7.2.0.103./en/getlatestversion?ver=7.2.0.103&uhash=1fdc256726fe284b6b490bfa128de6f14,2015-03-26T18:49:46.900254-0600,first-org-2015,151,2015-03-27
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | ui.skype.com | /ui/0/7.2.0.103./en/installed | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49451,157.56.114.104,80,ui.skype.com,/ui/0/7.2.0.103./en/installed,2015-03-17T07:51:33.253646-0600,first-org-2015,1,2015-03-17
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | ui.skype.com | /ui/0/7.2.0.103/en/go/getextra-skypetoolbar-client?source=lightinstaller | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49445,157.56.114.104,80,ui.skype.com,/ui/0/7.2.0.103/en/go/getextra-skypetoolbar-client?source=lightinstaller,2015-03-17T07:51:32.001752-0600,first-org-2015,1,2015-03-17
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | ui.skype.com | /ui/0/7.2.0.103/en/lightinstaller?source=lightinstaller | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49439,157.56.114.104,80,ui.skype.com,/ui/0/7.2.0.103/en/lightinstaller?source=lightinstaller,2015-03-17T07:50:57.836568-0600,first-org-2015,1,2015-03-17
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | www.skype.com | /go/getextra-skypetoolbar-client?intsrc=client-_-windows-_-7.2-_-go-getextra-skypetoolbar-client&source=lightinstaller | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49446,157.56.198.10,80,www.skype.com,/go/getextra-skypetoolbar-client?intsrc=client-_-windows-_-7.2-_-go-getextra-skypetoolbar-client&source=lightinstaller,2015-03-17T07:51:32.174274-0600,first-org-2015,1,2015-03-17
ET CHAT Skype User-Agent detected | Potential Corporate Privacy Violation | http | www.skype.com | /go/getskype-lightmsi?version=7.2.0.103 | 80,ET CHAT Skype User-Agent detected,2002157,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,49440,157.56.198.10,80,www.skype.com,/go/getskype-lightmsi?version=7.2.0.103,2015-03-17T07:50:58.005286-0600,first-org-2015,1,2015-03-17
ET CHAT Skype VOIP Checking Version (Startup) | Potential Corporate Privacy Violation | http | ui.skype.com | /ui/0/7.2.0.103./en/getlatestversion?ver=7.2.0.103&uhash=1fdcNfe284b6b490bfa128de6f14 | 80,ET CHAT Skype VOIP Checking Version (Startup),2001595,Potential Corporate Privacy Violation,1,TCP,http,192.168.0.54,63259,157.56.114.104,80,ui.skype.com,/ui/0/7.2.0.103./en/getlatestversion?ver=7.2.0.103&uhash=1fdc256726fe284b6b490bfa128de6f14,2015-03-26T18:49:46.900254-0600,first-org-2015,151,2015-03-27
ET CINS Active Threat Intelligence Poor Reputation IP group 100 | Misc Attack | 80,ET CINS Active Threat Intelligence Poor Reputation IP group 100,2403399,Misc Attack,2,TCP,,93.174.93.218,54075,192.168.0.2,80,,,2015-03-21T02:20:25.821320-0600,first-org-2015,1,2015-03-21
ET CINS Active Threat Intelligence Poor Reputation IP group 66 | Misc Attack | 22,ET CINS Active Threat Intelligence Poor Reputation IP group 66,2403365,Misc Attack,2,TCP,,71.6.165.200,40082,192.168.0.2,22,,,2015-03-20T12:48:25.961043-0600,first-org-2015,1,2015-03-20
